Index_client;sexe;Age;Présence_enfant;Présence_conduite_accompagnee;Tranche_revenus;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;intervalle_devis
213;F;65;Non;Non;[40k-60k€];Private;z_SUV;1;0;Highly Urban/ Urban;02/05/2022 16:43;complet;[250-500€]
214;F;52;Non;Non;[40k-60k€];Commercial;Van;1;5.0;Highly Urban/ Urban;19/01/2022 00:38;complet;[250-500€]
215;M;59;Oui;Non;[40k-60k€];Commercial;Van;5;0;Highly Urban/ Urban;15/02/2022 23:41;complet;[250-500€]
216;M;66;Non;Non;[100k+€];Private;z_SUV;0;13.0;Highly Urban/ Urban;03/01/2022 06:55;complet;[500-750€]
217;F;55;Oui;Non;[20k-40k€];Private;Pickup;2;6.0;Highly Urban/ Urban;27/03/2022 02:40;complet;[250-500€]
218;F;8;Non;Non;[60k-80k€];Private;z_SUV;8;19.0;Highly Urban/ Urban;02/04/2022 14:20;complet;[250-500€]
219;M;65;Non;Non;[20k-40k€];Private;Sports Car;0;1.0;Highly Urban/ Urban;30/04/2022 22:44;complet;[500-750€]
220;M;72;Oui;Oui;[20k-40k€];Private;Minivan;1;1.0;z_Highly Rural/ Rural;07/04/2022 11:09;complet;[250-500€]
221;M;75;Oui;Non;[100k+€];Private;Sports Car;0;16.0;Highly Urban/ Urban;22/01/2022 06:45;complet;[250-500€]
223;F;32;Non;Non;[60k-80k€];Private;z_SUV;4;3.0;Highly Urban/ Urban;07/01/2022 07:53;complet;[500-750€]
224;F;6;Oui;Non;[100k+€];Commercial;z_SUV;5;5.0;Highly Urban/ Urban;05/01/2022 18:21;complet;[250-500€]
225;F;85;Non;Non;[20k-40k€];Commercial;Minivan;0;1.0;Highly Urban/ Urban;13/05/2022 15:01;complet;[250-500€]
226;M;57;Non;Non;[100k+€];Private;Minivan;4;10.0;Highly Urban/ Urban;11/05/2022 05:29;complet;[250-500€]
227;F;67;Non;Non;[20k-40k€];Private;z_SUV;3;9.0;Highly Urban/ Urban;29/03/2022 05:23;complet;[250-500€]
228;M;28;Oui;Non;[20k-40k€];Private;z_SUV;0;3.0;z_Highly Rural/ Rural;12/02/2022 09:30;complet;[250-500€]
229;F;71;Non;Non;[0-20k€];Private;Minivan;0;1.0;Highly Urban/ Urban;18/03/2022 03:20;complet;[250-500€]
230;F;84;Non;Non;[20k-40k€];Private;Pickup;5;1.0;Highly Urban/ Urban;25/01/2022 12:09;complet;[250-500€]
231;F;28;Non;Non;[40k-60k€];Private;z_SUV;3;0;Highly Urban/ Urban;11/05/2022 03:18;complet;[250-500€]
232;M;5;Oui;Oui;[60k-80k€];Private;Minivan;0;7.0;Highly Urban/ Urban;04/05/2022 06:00;complet;[250-500€]
233;F;33;Non;Non;[60k-80k€];Private;Minivan;3;0;Highly Urban/ Urban;22/01/2022 22:28;complet;[250-500€]
234;F;45;Non;Non;[60k-80k€];Commercial;z_SUV;2;10.0;Highly Urban/ Urban;06/01/2022 14:38;complet;[250-500€]
235;F;69;Oui;Non;[0-20k€];Private;z_SUV;2;7.0;z_Highly Rural/ Rural;11/04/2022 02:23;complet;[250-500€]
236;M;70;Non;Non;[40k-60k€];Private;Pickup;0;16.0;Highly Urban/ Urban;22/03/2022 21:40;complet;[250-500€]
237;F;39;Non;Non;[100k+€];Commercial;Panel Truck;0;15.0;Highly Urban/ Urban;31/03/2022 19:09;complet;[500-750€]
238;F;68;Non;Non;[100k+€];Private;z_SUV;0;15.0;Highly Urban/ Urban;09/03/2022 15:11;complet;[250-500€]
239;M;74;Oui;Non;[20k-40k€];Private;z_SUV;5;1.0;Highly Urban/ Urban;07/05/2022 11:43;complet;[250-500€]
240;F;71;Non;Non;[80k-100k€];Private;Minivan;3;10.0;Highly Urban/ Urban;24/02/2022 02:03;complet;[250-500€]
241;F;44;Non;Non;[60k-80k€];Private;Minivan;0;15.0;Highly Urban/ Urban;24/05/2022 09:47;complet;[250-500€]
242;M;65;Non;Non;[80k-100k€];Commercial;z_SUV;0;7.0;Highly Urban/ Urban;25/02/2022 23:45;complet;[250-500€]
243;F;85;Non;Non;[0-20k€];Commercial;Pickup;0;11.0;Highly Urban/ Urban;29/03/2022 07:38;complet;[250-500€]
244;F;80;Oui;Oui;[60k-80k€];Private;Sports Car;6;12.0;Highly Urban/ Urban;10/05/2022 14:59;complet;[250-500€]
245;M;12;Oui;Non;[40k-60k€];Private;z_SUV;3;5.0;Highly Urban/ Urban;14/05/2022 19:19;complet;[250-500€]
247;M;35;Oui;Oui;[60k-80k€];Commercial;Pickup;0;7.0;Highly Urban/ Urban;27/05/2022 14:41;complet;[250-500€]
248;M;10;Oui;Non;[0-20k€];Commercial;Van;0;1.0;z_Highly Rural/ Rural;13/01/2022 11:51;complet;[250-500€]
249;M;38;Non;Non;[20k-40k€];Private;Pickup;0;10.0;Highly Urban/ Urban;08/04/2022 01:47;complet;[250-500€]
250;F;32;Non;Non;[80k-100k€];Private;Minivan;2;15.0;Highly Urban/ Urban;26/04/2022 15:04;complet;[250-500€]
251;M;19;Non;Non;[100k+€];Private;z_SUV;1;20.0;Highly Urban/ Urban;30/01/2022 17:15;complet;[250-500€]
252;F;38;Non;Non;[40k-60k€];Commercial;z_SUV;5;12.0;z_Highly Rural/ Rural;18/05/2022 05:21;complet;[250-500€]
253;M;56;Non;Non;[40k-60k€];Commercial;Minivan;3;6.0;Highly Urban/ Urban;27/01/2022 08:09;complet;[250-500€]
254;F;59;Non;Non;[100k+€];Private;Van;0;18.0;Highly Urban/ Urban;13/02/2022 22:32;complet;[250-500€]
255;M;9;Non;Non;[20k-40k€];Private;Minivan;0;8.0;Highly Urban/ Urban;26/04/2022 23:23;complet;[250-500€]
256;M;62;Oui;Non;[80k-100k€];Commercial;Van;2;0;z_Highly Rural/ Rural;26/05/2022 00:20;complet;[250-500€]
258;F;23;Oui;Oui;[20k-40k€];Private;Minivan;0;5.0;Highly Urban/ Urban;05/02/2022 06:43;complet;[250-500€]
259;F;88;Non;Non;[0-20k€];Private;Minivan;0;1.0;z_Highly Rural/ Rural;26/03/2022 06:02;complet;[250-500€]
260;F;71;Non;Non;[40k-60k€];Commercial;Panel Truck;4;10.0;Highly Urban/ Urban;14/02/2022 17:36;complet;[250-500€]
261;F;11;Non;Non;[60k-80k€];Commercial;Panel Truck;5;8.0;Highly Urban/ Urban;17/04/2022 16:52;complet;[250-500€]
262;F;81;Oui;Non;[80k-100k€];Commercial;Van;1;9.0;Highly Urban/ Urban;12/02/2022 04:17;complet;[250-500€]
263;M;10;Non;Non;[100k+€];Commercial;Pickup;0;17.0;Highly Urban/ Urban;20/03/2022 21:08;complet;[250-500€]
264;M;15;Non;Non;[80k-100k€];Commercial;Van;7;10.0;Highly Urban/ Urban;24/03/2022 00:32;complet;[250-500€]
265;M;78;Non;Non;[0-20k€];Private;z_SUV;4;0;Highly Urban/ Urban;28/05/2022 16:57;complet;[250-500€]
266;M;58;Non;Non;[60k-80k€];Private;z_SUV;1;7.0;Highly Urban/ Urban;27/04/2022 16:49;complet;[250-500€]
267;M;52;Non;Non;[80k-100k€];Private;z_SUV;1;1.0;z_Highly Rural/ Rural;28/01/2022 09:25;complet;[250-500€]
268;M;16;Non;Non;[100k+€];Commercial;Panel Truck;4;11.0;Highly Urban/ Urban;21/03/2022 10:05;complet;[250-500€]
269;F;72;Non;Non;[60k-80k€];Private;z_SUV;0;12.0;Highly Urban/ Urban;07/01/2022 09:45;complet;[250-500€]
270;F;60;Non;Non;[100k+€];Private;Minivan;4;13.0;Highly Urban/ Urban;15/05/2022 03:11;complet;[250-500€]
271;F;37;Non;Non;[40k-60k€];Commercial;Sports Car;4;12.0;Highly Urban/ Urban;09/02/2022 14:04;complet;[250-500€]
272;M;70;Non;Non;[100k+€];Commercial;Pickup;3;13.0;Highly Urban/ Urban;04/02/2022 16:41;complet;[250-500€]
273;F;44;Non;Non;[80k-100k€];Commercial;Van;3;8.0;Highly Urban/ Urban;30/04/2022 22:43;complet;[250-500€]
274;M;24;Non;Non;[60k-80k€];Private;Van;0;1.0;Highly Urban/ Urban;06/01/2022 19:41;complet;[250-500€]
275;M;51;Oui;Non;[40k-60k€];Private;z_SUV;2;1.0;Highly Urban/ Urban;12/04/2022 12:00;complet;[250-500€]
276;F;87;Non;Non;[80k-100k€];Commercial;Panel Truck;5;10.0;Highly Urban/ Urban;25/04/2022 16:57;complet;[250-500€]
277;M;37;Oui;Oui;[80k-100k€];Commercial;Pickup;4;8.0;Highly Urban/ Urban;01/01/2022 07:42;complet;[250-500€]
278;M;60;Non;Non;[20k-40k€];Commercial;Pickup;5;1.0;Highly Urban/ Urban;16/03/2022 12:46;complet;[250-500€]
279;M;25;Non;Non;[100k+€];Commercial;Panel Truck;3;20.0;Highly Urban/ Urban;20/03/2022 11:43;complet;[250-500€]
280;M;74;Non;Non;[0-20k€];Private;z_SUV;3;2.0;Highly Urban/ Urban;20/01/2022 09:01;complet;[250-500€]
281;M;59;Non;Non;[60k-80k€];Private;Minivan;0;12.0;Highly Urban/ Urban;10/05/2022 05:21;complet;[250-500€]
282;M;7;Non;Non;[0-20k€];Private;Sports Car;5;11.0;Highly Urban/ Urban;10/01/2022 01:26;complet;[500-750€]
283;F;7;Non;Non;[60k-80k€];Private;Sports Car;0;12.0;z_Highly Rural/ Rural;28/03/2022 12:26;complet;[250-500€]
284;F;47;Non;Non;[20k-40k€];Private;Minivan;4;11.0;Highly Urban/ Urban;13/04/2022 14:44;complet;[250-500€]
285;F;87;Non;Non;[60k-80k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;21/02/2022 23:21;complet;[250-500€]
286;F;19;Non;Non;[20k-40k€];Private;Pickup;2;1.0;Highly Urban/ Urban;15/01/2022 01:35;complet;[250-500€]
287;F;42;Non;Non;[20k-40k€];Commercial;Pickup;0;10.0;z_Highly Rural/ Rural;25/01/2022 15:18;complet;[250-500€]
289;F;78;Non;Non;[100k+€];Commercial;Panel Truck;0;17.0;Highly Urban/ Urban;15/02/2022 23:56;complet;[250-500€]
290;M;61;Oui;Non;[60k-80k€];Private;Pickup;1;14.0;Highly Urban/ Urban;27/01/2022 03:55;complet;[500-750€]
291;M;59;Non;Non;[40k-60k€];Private;Pickup;4;9.0;Highly Urban/ Urban;18/03/2022 07:40;complet;[250-500€]
292;M;19;Non;Non;[40k-60k€];Private;Pickup;0;8.0;Highly Urban/ Urban;22/03/2022 07:46;complet;[250-500€]
293;M;5;Non;Non;[20k-40k€];Private;Minivan;3;0;Highly Urban/ Urban;07/03/2022 03:55;complet;[250-500€]
294;M;8;Non;Non;[60k-80k€];Commercial;Van;0;4.0;Highly Urban/ Urban;18/05/2022 22:10;complet;[250-500€]
295;F;24;Oui;Non;[20k-40k€];Private;z_SUV;1;1.0;Highly Urban/ Urban;01/05/2022 17:43;complet;[250-500€]
296;F;48;Oui;Non;[80k-100k€];Private;z_SUV;0;11.0;Highly Urban/ Urban;26/05/2022 22:40;complet;[250-500€]
297;F;15;Non;Non;[40k-60k€];Private;z_SUV;6;0;Highly Urban/ Urban;23/04/2022 11:29;complet;[500-750€]
298;F;91;Oui;Oui;[100k+€];Private;Minivan;1;11.0;Highly Urban/ Urban;27/02/2022 02:58;complet;[250-500€]
299;F;70;Non;Non;[60k-80k€];Private;Pickup;2;10.0;Highly Urban/ Urban;16/04/2022 10:28;complet;[250-500€]
300;F;21;Oui;Non;[40k-60k€];Commercial;Panel Truck;1;21.0;Highly Urban/ Urban;21/03/2022 00:34;complet;[250-500€]
301;M;46;Non;Non;[20k-40k€];Commercial;Sports Car;0;1.0;z_Highly Rural/ Rural;10/05/2022 09:58;complet;[250-500€]
302;F;5;Oui;Non;[80k-100k€];Private;Pickup;0;10.0;z_Highly Rural/ Rural;11/04/2022 21:52;complet;[250-500€]
303;F;52;Oui;Non;[0-20k€];Private;z_SUV;0;1.0;z_Highly Rural/ Rural;13/05/2022 22:59;complet;[250-500€]
304;F;71;Oui;Oui;[0-20k€];Private;Minivan;3;1.0;Highly Urban/ Urban;26/05/2022 20:49;complet;[250-500€]
305;F;82;Non;Non;[40k-60k€];Private;Pickup;0;10.0;z_Highly Rural/ Rural;03/03/2022 14:18;complet;[250-500€]
306;F;71;Non;Non;[100k+€];Private;Sports Car;0;12.0;Highly Urban/ Urban;26/01/2022 19:37;complet;[250-500€]
307;M;12;Non;Non;[100k+€];Commercial;Pickup;4;20.0;Highly Urban/ Urban;22/01/2022 01:15;complet;[250-500€]
308;F;74;Non;Non;[0-20k€];Private;z_SUV;0;3.0;Highly Urban/ Urban;25/05/2022 07:24;complet;[250-500€]
309;F;20;Non;Non;[60k-80k€];Private;Minivan;0;11.0;Highly Urban/ Urban;03/02/2022 17:35;complet;[250-500€]
310;F;54;Non;Non;[100k+€];Commercial;Panel Truck;5;19.0;Highly Urban/ Urban;08/01/2022 02:38;complet;[250-500€]
311;F;49;Non;Non;[0-20k€];Commercial;Minivan;0;11.0;z_Highly Rural/ Rural;02/05/2022 00:05;complet;[250-500€]
312;M;37;Non;Non;[40k-60k€];Commercial;Sports Car;0;7.0;Highly Urban/ Urban;18/05/2022 16:18;complet;[250-500€]
313;M;40;Non;Non;[20k-40k€];Private;Minivan;0;8.0;z_Highly Rural/ Rural;25/05/2022 08:12;complet;[250-500€]
314;M;68;Oui;Oui;[40k-60k€];Private;Sports Car;2;1.0;Highly Urban/ Urban;04/05/2022 10:23;complet;[250-500€]
315;F;63;Oui;Non;[100k+€];Private;Pickup;2;12.0;Highly Urban/ Urban;16/04/2022 07:28;complet;[250-500€]
316;M;22;Non;Non;[0-20k€];Private;Minivan;0;1.0;Highly Urban/ Urban;17/02/2022 11:37;complet;[250-500€]
317;M;84;Non;Non;[100k+€];Private;Minivan;0;11.0;Highly Urban/ Urban;25/04/2022 08:56;complet;[250-500€]
318;F;13;Non;Non;[20k-40k€];Commercial;Panel Truck;0;7.0;Highly Urban/ Urban;24/03/2022 18:04;complet;[250-500€]
319;F;51;Oui;Non;[0-20k€];Private;z_SUV;0;5.0;z_Highly Rural/ Rural;24/01/2022 04:40;complet;[250-500€]
321;F;63;Non;Non;[100k+€];Private;Van;0;14.0;Highly Urban/ Urban;29/01/2022 15:32;complet;[250-500€]
322;F;94;Oui;Oui;[0-20k€];Private;z_SUV;0;4.0;z_Highly Rural/ Rural;29/04/2022 12:31;complet;[250-500€]
323;F;75;Non;Non;[60k-80k€];Private;Sports Car;0;6.0;Highly Urban/ Urban;11/01/2022 18:54;complet;[250-500€]
324;F;46;Oui;Non;[0-20k€];Commercial;Pickup;7;1.0;z_Highly Rural/ Rural;11/05/2022 07:38;complet;[250-500€]
325;F;57;Oui;Non;[20k-40k€];Private;z_SUV;6;1.0;Highly Urban/ Urban;07/05/2022 22:16;complet;[250-500€]
326;M;7;Non;Non;[80k-100k€];Commercial;Minivan;3;1.0;Highly Urban/ Urban;08/02/2022 23:25;complet;[250-500€]
327;F;74;Non;Non;[80k-100k€];Private;Minivan;2;19.0;Highly Urban/ Urban;01/02/2022 06:20;complet;[250-500€]
328;F;63;Non;Non;[20k-40k€];Commercial;z_SUV;3;12.0;Highly Urban/ Urban;10/03/2022 16:31;complet;[250-500€]
329;F;55;Non;Non;[40k-60k€];Private;Minivan;1;1.0;Highly Urban/ Urban;08/03/2022 15:24;complet;[250-500€]
330;F;62;Non;Non;[20k-40k€];Private;z_SUV;1;9.0;z_Highly Rural/ Rural;27/05/2022 17:51;complet;[250-500€]
331;F;52;Non;Non;[60k-80k€];Private;Pickup;2;9.0;Highly Urban/ Urban;07/01/2022 08:08;complet;[500-750€]
332;M;83;Oui;Oui;[20k-40k€];Private;Minivan;0;1.0;Highly Urban/ Urban;14/02/2022 20:28;complet;[250-500€]
333;M;37;Non;Non;[20k-40k€];Private;Sports Car;0;4.0;Highly Urban/ Urban;21/02/2022 01:00;complet;[250-500€]
334;M;54;Oui;Non;[20k-40k€];Commercial;Van;0;7.0;z_Highly Rural/ Rural;09/04/2022 20:12;complet;[250-500€]
335;F;67;Oui;Non;[60k-80k€];Commercial;Minivan;5;9.0;Highly Urban/ Urban;25/03/2022 02:23;complet;[250-500€]
336;F;49;Oui;Non;[80k-100k€];Private;z_SUV;0;20.0;Highly Urban/ Urban;31/03/2022 08:06;complet;[250-500€]
337;M;19;Non;Non;[40k-60k€];Private;Sports Car;0;15.0;Highly Urban/ Urban;02/02/2022 02:18;complet;[250-500€]
338;M;52;Non;Non;[40k-60k€];Commercial;Pickup;0;7.0;Highly Urban/ Urban;08/05/2022 12:04;complet;[250-500€]
339;M;41;Oui;Non;[100k+€];Commercial;z_SUV;0;9.0;Highly Urban/ Urban;04/04/2022 21:09;complet;[250-500€]
340;F;32;Oui;Oui;[0-20k€];Private;Sports Car;3;6.0;Highly Urban/ Urban;11/01/2022 12:37;complet;[250-500€]
341;M;63;Oui;Non;[100k+€];Commercial;Panel Truck;4;8.0;Highly Urban/ Urban;22/03/2022 14:39;complet;[250-500€]
342;M;83;Oui;Non;[40k-60k€];Commercial;Sports Car;0;1.0;Highly Urban/ Urban;30/01/2022 05:24;complet;[250-500€]
343;M;37;Non;Non;[60k-80k€];Private;z_SUV;7;1.0;Highly Urban/ Urban;09/05/2022 02:49;complet;[250-500€]
344;M;76;Non;Non;[20k-40k€];Commercial;Minivan;3;5.0;Highly Urban/ Urban;11/04/2022 20:56;complet;[250-500€]
345;M;57;Non;Non;[100k+€];Commercial;Van;1;8.0;Highly Urban/ Urban;10/01/2022 18:15;complet;[250-500€]
346;M;57;Non;Non;[100k+€];Private;z_SUV;2;0;Highly Urban/ Urban;26/03/2022 19:37;complet;[250-500€]
347;F;25;Non;Non;[60k-80k€];Commercial;Panel Truck;10;14.0;Highly Urban/ Urban;24/02/2022 04:11;complet;[250-500€]
348;F;22;Oui;Non;[100k+€];Commercial;Panel Truck;3;3.0;Highly Urban/ Urban;05/03/2022 20:32;complet;[250-500€]
349;F;83;Non;Non;[0-20k€];Private;Minivan;0;10.0;Highly Urban/ Urban;30/04/2022 22:26;complet;[250-500€]
350;M;37;Non;Non;[0-20k€];Private;Sports Car;0;1.0;z_Highly Rural/ Rural;26/01/2022 05:23;complet;[250-500€]
351;F;89;Oui;Oui;[100k+€];Private;Minivan;4;10.0;Highly Urban/ Urban;06/01/2022 03:41;complet;[500-750€]
352;M;31;Non;Non;[40k-60k€];Private;Minivan;0;13.0;Highly Urban/ Urban;09/01/2022 12:44;complet;[250-500€]
353;M;69;Oui;Non;[80k-100k€];Commercial;z_SUV;1;1.0;Highly Urban/ Urban;13/01/2022 00:17;complet;[250-500€]
354;F;84;Non;Non;[100k+€];Private;Sports Car;8;20.0;Highly Urban/ Urban;10/05/2022 08:42;complet;[250-500€]
355;M;82;Oui;Non;[80k-100k€];Commercial;Panel Truck;0;1.0;z_Highly Rural/ Rural;02/03/2022 15:25;complet;[250-500€]
356;F;51;Oui;Non;[60k-80k€];Private;Minivan;2;18.0;Highly Urban/ Urban;30/01/2022 12:21;complet;[250-500€]
358;M;32;Oui;Non;[100k+€];Commercial;Panel Truck;0;19.0;Highly Urban/ Urban;29/05/2022 01:33;complet;[250-500€]
359;M;7;Oui;Non;[20k-40k€];Private;Pickup;0;17.0;Highly Urban/ Urban;24/05/2022 02:16;complet;[250-500€]
360;F;54;Non;Non;[60k-80k€];Commercial;Pickup;2;11.0;z_Highly Rural/ Rural;27/01/2022 13:08;complet;[250-500€]
361;F;59;Non;Non;[40k-60k€];Private;Van;3;13.0;Highly Urban/ Urban;07/05/2022 12:43;complet;[250-500€]
362;M;74;Oui;Non;[20k-40k€];Commercial;z_SUV;0;8.0;z_Highly Rural/ Rural;06/03/2022 05:37;complet;[250-500€]
363;M;21;Oui;Non;[40k-60k€];Commercial;z_SUV;1;5.0;Highly Urban/ Urban;06/05/2022 19:28;complet;[250-500€]
364;F;56;Oui;Non;[40k-60k€];Private;Minivan;0;1.0;z_Highly Rural/ Rural;23/01/2022 05:32;complet;[500-750€]
365;M;27;Oui;Non;[0-20k€];Commercial;z_SUV;3;1.0;Highly Urban/ Urban;21/01/2022 14:17;complet;[250-500€]
367;F;42;Oui;Non;[20k-40k€];Private;Minivan;4;8.0;z_Highly Rural/ Rural;23/04/2022 17:43;complet;[250-500€]
368;F;64;Non;Non;[100k+€];Private;z_SUV;0;9.0;Highly Urban/ Urban;19/02/2022 18:27;complet;[250-500€]
369;F;71;Non;Non;[20k-40k€];Private;Minivan;0;7.0;z_Highly Rural/ Rural;10/01/2022 09:54;complet;[250-500€]
370;M;11;Oui;Non;[40k-60k€];Private;Sports Car;0;13.0;Highly Urban/ Urban;26/02/2022 17:17;complet;[250-500€]
371;F;36;Oui;Oui;[0-20k€];Private;z_SUV;0;10.0;Highly Urban/ Urban;03/01/2022 08:13;complet;[250-500€]
373;M;87;Non;Non;[40k-60k€];Commercial;Panel Truck;2;8.0;z_Highly Rural/ Rural;26/05/2022 01:19;complet;[250-500€]
374;F;52;Oui;Non;[0-20k€];Private;Minivan;3;1.0;Highly Urban/ Urban;07/03/2022 14:13;complet;[250-500€]
375;F;53;Non;Non;[20k-40k€];Private;z_SUV;3;0;Highly Urban/ Urban;16/04/2022 20:05;complet;[250-500€]
376;M;47;Oui;Non;[20k-40k€];Private;z_SUV;3;6.0;Highly Urban/ Urban;23/05/2022 01:28;complet;[250-500€]
377;F;70;Oui;Non;[20k-40k€];Private;z_SUV;0;11.0;Highly Urban/ Urban;08/01/2022 06:18;complet;[250-500€]
378;M;23;Oui;Non;[60k-80k€];Private;Minivan;0;21.0;Highly Urban/ Urban;29/05/2022 04:55;complet;[250-500€]
379;M;73;Oui;Oui;[40k-60k€];Private;Minivan;1;8.0;Highly Urban/ Urban;10/01/2022 03:39;complet;[250-500€]
380;F;58;Non;Non;[80k-100k€];Private;Minivan;0;0;Highly Urban/ Urban;18/04/2022 14:58;complet;[250-500€]
381;M;14;Oui;Non;[100k+€];Private;Minivan;1;18.0;Highly Urban/ Urban;16/01/2022 03:51;complet;[250-500€]
382;M;80;Non;Non;[40k-60k€];Commercial;Van;2;7.0;Highly Urban/ Urban;02/01/2022 13:57;complet;[250-500€]
383;M;70;Non;Non;[100k+€];Commercial;Van;3;16.0;Highly Urban/ Urban;18/03/2022 04:49;complet;[250-500€]
384;M;76;Non;Non;[100k+€];Private;Sports Car;0;14.0;Highly Urban/ Urban;19/01/2022 09:26;complet;[250-500€]
385;M;13;Oui;Non;[60k-80k€];Commercial;z_SUV;0;11.0;Highly Urban/ Urban;06/05/2022 19:13;complet;[250-500€]
386;F;68;Oui;Non;[20k-40k€];Commercial;z_SUV;3;4.0;Highly Urban/ Urban;27/04/2022 00:03;complet;[250-500€]
387;M;15;Non;Non;[100k+€];Private;Minivan;4;19.0;Highly Urban/ Urban;16/02/2022 20:52;complet;[250-500€]
389;M;42;Non;Non;[20k-40k€];Private;z_SUV;0;5.0;z_Highly Rural/ Rural;07/01/2022 02:54;complet;[250-500€]
390;M;75;Oui;Non;[100k+€];Private;Minivan;0;16.0;Highly Urban/ Urban;23/02/2022 11:01;complet;[250-500€]
391;F;44;Oui;Oui;[100k+€];Private;z_SUV;0;12.0;Highly Urban/ Urban;11/04/2022 10:47;complet;[250-500€]
393;F;46;Non;Non;[0-20k€];Commercial;Minivan;2;11.0;Highly Urban/ Urban;13/05/2022 08:26;complet;[250-500€]
394;M;50;Non;Non;[100k+€];Commercial;Panel Truck;1;7.0;Highly Urban/ Urban;08/01/2022 21:15;complet;[250-500€]
395;F;74;Non;Non;[100k+€];Private;Van;0;3.0;Highly Urban/ Urban;13/03/2022 10:59;complet;[250-500€]
396;M;80;Non;Non;[20k-40k€];Commercial;Pickup;3;8.0;Highly Urban/ Urban;05/01/2022 22:40;complet;[250-500€]
397;F;40;Oui;Oui;[60k-80k€];Commercial;Pickup;1;8.0;Highly Urban/ Urban;17/02/2022 01:45;complet;[250-500€]
398;M;94;Non;Non;[0-20k€];Private;z_SUV;0;16.0;z_Highly Rural/ Rural;14/04/2022 05:13;complet;[250-500€]
399;M;80;Non;Non;[0-20k€];Private;z_SUV;2;10.0;Highly Urban/ Urban;10/02/2022 01:05;complet;[250-500€]
400;M;74;Oui;Oui;[80k-100k€];Commercial;Minivan;0;9.0;z_Highly Rural/ Rural;17/04/2022 21:45;complet;[250-500€]
402;M;6;Non;Non;[100k+€];Commercial;Panel Truck;0;5.0;Highly Urban/ Urban;07/04/2022 15:44;complet;[250-500€]
403;M;91;Oui;Non;[0-20k€];Private;z_SUV;8;5.0;Highly Urban/ Urban;11/01/2022 21:36;complet;[250-500€]
404;M;67;Non;Non;[100k+€];Commercial;Panel Truck;0;16.0;Highly Urban/ Urban;29/01/2022 06:11;complet;[250-500€]
405;M;61;Non;Non;[100k+€];Commercial;Panel Truck;5;19.0;Highly Urban/ Urban;27/01/2022 10:26;complet;[250-500€]
406;F;6;Oui;Non;[40k-60k€];Private;Minivan;0;7.0;Highly Urban/ Urban;09/04/2022 17:13;complet;[250-500€]
407;F;23;Oui;Non;[60k-80k€];Commercial;z_SUV;0;8.0;Highly Urban/ Urban;04/02/2022 22:31;complet;[250-500€]
408;M;12;Oui;Non;[60k-80k€];Private;Minivan;2;9.0;Highly Urban/ Urban;13/04/2022 19:59;complet;[250-500€]
410;F;65;Non;Non;[0-20k€];Private;z_SUV;0;1.0;Highly Urban/ Urban;13/02/2022 11:48;complet;[250-500€]
411;M;66;Oui;Non;[20k-40k€];Commercial;Van;2;1.0;Highly Urban/ Urban;27/03/2022 04:34;complet;[250-500€]
412;M;52;Non;Non;[100k+€];Private;Sports Car;0;14.0;Highly Urban/ Urban;26/03/2022 22:33;complet;[250-500€]
413;F;83;Non;Non;[80k-100k€];Private;Pickup;0;0;Highly Urban/ Urban;05/04/2022 17:32;complet;[250-500€]
414;F;11;Non;Non;[0-20k€];Private;z_SUV;2;16.0;z_Highly Rural/ Rural;23/01/2022 22:34;complet;[250-500€]
415;M;79;Non;Non;[80k-100k€];Commercial;Pickup;0;16.0;Highly Urban/ Urban;14/02/2022 23:26;complet;[250-500€]
416;F;58;Non;Non;[20k-40k€];Private;Pickup;0;0;Highly Urban/ Urban;31/03/2022 03:07;complet;[250-500€]
417;M;53;Non;Non;[0-20k€];Private;Pickup;1;1.0;Highly Urban/ Urban;11/05/2022 06:47;complet;[250-500€]
418;F;40;Oui;Non;[0-20k€];Private;z_SUV;7;1.0;Highly Urban/ Urban;24/03/2022 15:19;complet;[250-500€]
419;M;75;Non;Non;[0-20k€];Private;Pickup;6;1.0;Highly Urban/ Urban;29/03/2022 12:51;complet;[250-500€]
421;M;71;Oui;Oui;[20k-40k€];Commercial;Pickup;5;1.0;Highly Urban/ Urban;29/05/2022 03:14;complet;[250-500€]
422;M;18;Non;Non;[80k-100k€];Private;Van;11;16.0;Highly Urban/ Urban;18/04/2022 23:11;complet;[250-500€]
423;M;68;Non;Non;[0-20k€];Private;Minivan;2;1.0;z_Highly Rural/ Rural;17/04/2022 11:37;complet;[250-500€]
424;M;85;Non;Non;[80k-100k€];Commercial;Minivan;6;7.0;Highly Urban/ Urban;08/03/2022 08:49;complet;[250-500€]
425;F;91;Non;Non;[80k-100k€];Private;Sports Car;0;12.0;Highly Urban/ Urban;28/04/2022 19:59;complet;[250-500€]
426;M;49;Non;Non;[80k-100k€];Commercial;z_SUV;1;7.0;z_Highly Rural/ Rural;05/04/2022 14:33;complet;[250-500€]
427;M;44;Oui;Oui;[20k-40k€];Commercial;Minivan;0;5.0;Highly Urban/ Urban;30/03/2022 17:39;complet;[500-750€]
428;F;61;Non;Non;[60k-80k€];Private;Minivan;2;1.0;Highly Urban/ Urban;09/04/2022 15:27;complet;[250-500€]
